CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Spain,Geography_Germany,Gender_Female,Gender_Male
870,91,16,249985,3,1,1,1347676,0,0,1,1,0
399,45,17,70809,1,1,0,861881,1,0,0,1,0
949,48,2,469899,5,1,1,368896,0,0,1,1,0
561,36,3,31709,5,0,0,1741318,1,0,0,0,1
712,62,11,722335,2,1,1,1649445,1,0,0,1,0
763,46,13,671095,6,0,1,2661383,0,0,1,1,0
401,88,5,960606,3,1,0,804640,1,0,0,0,1
751,19,0,49667,6,1,1,114306,0,1,0,1,0
346,37,15,278194,5,0,0,2613635,1,0,0,0,1
869,72,0,717005,3,0,0,756217,1,0,0,1,0
393,18,18,896070,3,0,1,1521697,1,0,0,1,0
447,30,7,316534,1,0,0,67979,1,0,0,0,1
931,53,0,829020,6,1,1,1537954,1,0,0,1,0
637,48,0,843820,2,0,1,1859662,1,0,0,0,1
207,45,17,230045,3,0,0,73886,0,0,1,1,0
964,40,17,403041,5,1,0,1963282,0,1,0,1,0
478,92,4,217,1,1,1,2172972,0,0,1,1,0
728,74,3,804067,4,0,0,2380915,0,1,0,0,1
757,34,6,706911,3,0,0,613318,0,1,0,0,1
910,91,14,517871,3,0,1,223751,1,0,0,1,0
752,37,16,951914,1,1,0,2513522,1,0,0,1,0
681,98,18,132984,3,1,0,2901203,0,0,1,0,1
931,85,4,365609,3,1,0,2613285,0,0,1,1,0
960,56,12,810784,1,0,0,1633482,0,0,1,1,0
565,70,1,440872,6,1,0,211345,1,0,0,0,1
881,48,19,318368,1,1,0,2731560,0,0,1,1,0
990,61,10,850100,1,1,1,846396,1,0,0,0,1
250,46,9,704647,3,1,0,2065704,0,0,1,1,0
972,97,17,578069,5,1,0,2488283,1,0,0,0,1
997,26,4,226080,4,1,1,115871,0,1,0,0,1
769,96,2,264122,1,1,1,2399168,1,0,0,1,0
604,20,10,927734,1,1,0,2105198,0,1,0,0,1
985,49,15,519216,1,0,0,383830,1,0,0,1,0
620,75,10,8142,5,1,1,2166352,1,0,0,1,0
982,39,5,682329,4,1,1,1278899,1,0,0,0,1
766,83,2,447502,5,0,0,2745401,0,0,1,1,0
628,84,13,273610,2,1,1,1384904,0,0,1,1,0
578,59,5,686045,1,0,1,2026220,1,0,0,0,1
236,28,17,988792,1,1,0,1653697,0,0,1,0,1
953,87,17,195948,2,0,1,2650722,0,0,1,0,1
893,81,17,633238,3,0,1,2529169,0,1,0,0,1
719,81,18,968343,5,1,0,1869814,0,1,0,1,0
244,51,4,555851,2,0,0,2209963,0,0,1,0,1
335,90,15,493550,3,0,0,896099,1,0,0,1,0
470,56,11,920839,1,1,0,604793,0,1,0,1,0
455,97,18,378459,6,1,0,2398010,0,1,0,0,1
914,35,20,532634,6,0,0,1042248,0,1,0,1,0
688,86,9,181956,2,0,1,2655964,0,0,1,1,0
374,56,14,32042,1,1,0,2629400,1,0,0,1,0
548,50,11,317079,4,0,1,164796,0,0,1,1,0
333,21,16,342381,1,1,1,2502850,0,0,1,1,0
681,72,4,693615,3,0,1,2517521,0,0,1,0,1
788,53,16,882268,3,1,1,1643458,0,1,0,0,1
256,67,10,695057,3,1,0,2111237,0,0,1,1,0
933,75,0,451551,5,1,1,802987,0,0,1,0,1
774,73,15,451248,3,0,1,2809937,0,1,0,0,1
603,23,17,301379,5,0,0,540102,0,1,0,1,0
975,64,16,948088,4,1,1,22076,1,0,0,0,1
239,37,4,548379,1,1,0,2490320,0,0,1,0,1
651,29,13,645492,3,0,1,2878470,0,1,0,0,1
365,27,8,936005,6,1,0,178352,1,0,0,1,0
543,72,7,461740,2,1,1,2938953,0,1,0,1,0
626,70,20,907965,5,1,0,274081,0,1,0,1,0
357,84,19,407704,5,1,1,2493360,0,0,1,1,0
476,54,14,55088,6,1,0,1397464,0,1,0,0,1
831,94,1,914065,3,1,1,1638938,1,0,0,0,1
673,62,6,128272,5,0,1,1912529,0,0,1,1,0
257,62,1,715486,3,0,1,1461538,1,0,0,0,1
656,60,13,707653,4,0,1,2739339,1,0,0,1,0
950,88,15,604597,6,1,0,2319266,0,1,0,0,1
239,55,15,808649,2,1,0,1526826,0,1,0,0,1
886,30,16,867722,3,1,1,1182602,1,0,0,0,1
564,87,9,408876,6,0,0,1990591,0,1,0,1,0
946,75,20,658310,3,0,1,105927,0,1,0,1,0
571,55,4,424308,3,1,0,1450706,0,1,0,0,1
205,84,2,542344,1,0,1,619697,0,0,1,0,1
805,33,10,909491,5,0,0,2038576,0,0,1,0,1
391,73,12,980870,1,1,0,2076575,1,0,0,1,0
598,64,6,571017,3,0,1,366338,0,1,0,0,1
677,41,16,207209,6,1,1,2706216,0,0,1,1,0
984,34,8,146368,5,1,0,2701610,0,0,1,1,0
874,70,13,844412,3,0,1,2564457,0,1,0,0,1
858,69,5,853731,3,0,1,1634512,0,0,1,0,1
711,73,12,143596,5,0,0,913086,0,1,0,0,1
982,42,18,52305,2,0,1,1574146,1,0,0,0,1
531,78,19,54401,4,1,0,2879536,0,0,1,1,0
374,43,8,854978,4,1,1,2922181,1,0,0,1,0
952,55,20,30201,1,0,0,433248,1,0,0,0,1
267,69,19,464402,1,0,1,2377789,0,1,0,0,1
780,67,8,924099,3,1,0,2695842,1,0,0,0,1
475,39,9,203868,3,0,0,2720750,0,1,0,1,0
647,51,8,157389,1,1,1,2076569,0,1,0,1,0
343,45,4,438863,4,1,0,1906635,0,1,0,1,0
362,27,1,678619,4,1,0,1530479,0,0,1,1,0
658,67,15,136699,3,1,1,576418,0,1,0,1,0
745,94,1,990974,5,0,0,2881818,1,0,0,0,1
994,65,13,808066,2,0,1,1029149,0,0,1,0,1
418,69,17,7340,6,1,0,1041112,0,1,0,1,0
852,46,7,844675,5,0,1,1842451,0,1,0,0,1
969,93,11,60545,6,0,0,1669219,1,0,0,0,1
226,94,7,124701,1,1,0,605486,1,0,0,1,0
873,77,16,189366,5,1,1,2374842,0,1,0,1,0
964,21,1,629617,2,1,0,963414,0,0,1,1,0
970,95,5,287374,6,1,1,2925646,1,0,0,0,1
475,52,10,464035,4,1,0,754218,0,0,1,0,1
270,98,10,878341,2,1,1,1016436,1,0,0,0,1
752,39,6,415412,3,1,0,78475,1,0,0,0,1
213,47,10,809959,3,1,0,2372459,0,1,0,1,0
881,21,8,361923,1,0,1,428724,0,0,1,0,1
472,46,11,366923,6,1,1,954902,0,1,0,1,0
596,54,12,125787,3,1,0,2481014,0,0,1,0,1
993,71,2,949788,3,1,0,1242864,1,0,0,1,0
684,71,10,237520,5,0,0,1496801,0,0,1,0,1
746,24,0,839447,5,0,0,2059427,1,0,0,0,1
315,81,5,963066,5,0,1,2745148,0,1,0,1,0
846,40,18,831055,2,1,0,1091306,0,0,1,0,1
236,58,12,403639,4,1,0,327285,1,0,0,1,0
727,61,6,520827,3,0,0,2474646,0,1,0,0,1
839,80,9,481220,3,1,1,2735813,1,0,0,1,0
590,89,20,262747,1,1,0,2550012,0,1,0,1,0
762,29,9,366398,6,0,1,2253634,0,0,1,0,1
698,57,10,614309,5,1,0,1377433,0,0,1,0,1
287,84,18,511115,1,0,0,123601,1,0,0,0,1
322,26,7,370906,2,0,0,2471298,0,0,1,0,1
792,74,0,788807,3,0,0,2619804,0,1,0,1,0
876,71,6,479373,2,0,0,58569,1,0,0,1,0
385,75,0,999286,5,1,0,565040,0,0,1,1,0
991,29,0,289752,6,1,0,1252677,0,1,0,0,1
801,40,8,248446,5,1,1,2749340,0,0,1,0,1
621,86,7,297725,2,0,1,2522525,0,0,1,0,1
726,83,16,191138,6,0,0,2045763,0,1,0,1,0
324,27,0,697764,2,1,0,160697,1,0,0,1,0
396,58,8,562603,6,1,1,1956383,1,0,0,0,1
641,69,12,156536,3,0,0,2533564,0,0,1,0,1
845,72,11,789041,3,0,1,2526167,1,0,0,0,1
284,74,19,684453,1,1,0,2293731,0,1,0,1,0
391,99,17,766224,4,0,1,118905,0,0,1,0,1
435,60,3,307873,3,1,0,1063908,0,0,1,1,0
755,42,17,110202,6,0,0,1843097,1,0,0,0,1
619,61,20,83802,5,1,1,234120,0,0,1,0,1
280,94,14,428943,6,1,0,69346,0,0,1,0,1
200,46,18,370027,6,1,1,1173643,1,0,0,1,0
631,79,17,847020,1,0,0,1327212,0,0,1,0,1
854,87,6,308754,4,0,1,2159360,1,0,0,1,0
561,70,20,245051,2,1,1,749450,0,1,0,0,1
794,46,5,353622,3,0,1,285602,0,1,0,1,0
530,54,15,887735,5,0,1,829949,1,0,0,1,0
497,42,1,842037,3,1,0,303382,0,1,0,0,1
412,76,8,648868,6,1,1,2532112,0,1,0,0,1
845,21,10,186084,4,1,0,2904786,0,0,1,0,1
323,44,10,579608,4,0,1,1654535,1,0,0,0,1
488,45,17,850259,5,0,1,2480115,0,1,0,0,1
621,39,0,96352,1,0,0,1101490,0,1,0,1,0
479,87,16,409766,3,0,0,481890,1,0,0,1,0
934,18,10,808100,2,0,1,1504987,0,0,1,0,1
806,56,16,603650,4,0,1,2317526,0,0,1,1,0
386,45,19,990245,3,0,0,1731342,0,0,1,0,1
429,62,14,773352,3,0,1,1718326,0,0,1,1,0
906,71,5,236006,4,1,0,1098414,0,1,0,0,1
261,57,4,686568,3,1,1,2265779,1,0,0,1,0
908,73,7,511920,6,1,1,2678093,0,1,0,0,1
452,37,3,388522,1,1,1,2478204,0,1,0,0,1
951,88,3,376878,4,0,1,699440,1,0,0,1,0
722,23,12,859004,2,1,1,2219763,0,0,1,0,1
522,37,2,800419,1,1,1,1012494,0,0,1,0,1
607,57,6,508236,5,0,0,1907780,1,0,0,1,0
239,54,13,406759,1,0,0,1059067,0,1,0,0,1
363,93,11,537473,4,1,1,1608603,0,0,1,1,0
702,86,17,797278,2,0,1,771844,0,1,0,0,1
412,76,5,438903,1,1,1,2025191,1,0,0,0,1
491,42,11,911996,1,0,1,1541518,0,0,1,1,0
437,43,18,370107,4,0,0,1413045,1,0,0,0,1
762,60,6,709791,1,1,0,2040985,0,1,0,0,1
993,37,11,713682,4,0,0,555883,1,0,0,0,1
226,50,15,236287,3,1,0,1098335,1,0,0,0,1
534,75,10,382149,3,1,1,674057,0,1,0,0,1
831,54,20,924316,3,0,0,1131498,0,0,1,1,0
451,59,14,431774,3,1,0,1564812,0,1,0,1,0
640,53,15,538966,4,1,0,2719929,0,1,0,1,0
329,72,16,377746,4,0,1,284917,1,0,0,0,1
878,56,17,349657,1,0,0,955101,1,0,0,1,0
778,21,1,154079,1,0,0,282225,0,1,0,1,0
600,98,1,901766,2,0,0,1825060,0,1,0,1,0
748,30,15,728344,1,0,1,2460815,1,0,0,0,1
857,34,12,11282,6,1,0,2719129,1,0,0,0,1
248,46,17,914014,2,0,0,635188,0,0,1,0,1
438,19,4,862534,3,0,0,2872896,0,0,1,0,1
234,54,17,676969,4,0,0,1352791,1,0,0,0,1
232,80,10,21371,4,0,1,2610053,1,0,0,0,1
814,29,6,215615,1,1,1,1550700,1,0,0,1,0
921,83,12,447523,5,1,0,2931969,1,0,0,1,0
300,69,7,690908,5,1,0,1816392,0,0,1,0,1
790,44,6,20055,1,0,1,430312,0,0,1,1,0
979,22,12,124778,2,0,1,1135179,1,0,0,0,1
993,44,8,231748,6,1,1,1502023,0,1,0,0,1
985,27,19,72353,5,1,1,1526201,0,0,1,1,0
233,93,4,728810,4,1,0,2445029,0,1,0,0,1
906,51,17,271403,2,1,0,1786910,1,0,0,1,0
426,87,16,124026,6,1,0,219120,1,0,0,0,1
972,82,7,903306,4,1,0,1786307,1,0,0,0,1
430,44,1,988728,2,1,0,973751,0,1,0,0,1
297,90,13,261873,5,0,1,2897868,0,0,1,0,1
314,74,19,667947,1,0,1,1804684,0,1,0,1,0
413,90,6,119433,1,0,0,2308256,1,0,0,1,0
581,86,16,650137,6,1,1,2238795,0,1,0,1,0
935,78,17,52973,5,0,1,1758878,1,0,0,0,1
223,99,20,908356,6,0,1,2444606,1,0,0,0,1
389,98,0,110261,5,1,0,1783670,0,0,1,1,0
614,69,15,419147,4,1,1,782943,0,1,0,1,0
564,88,2,713014,5,1,1,941228,1,0,0,1,0
567,74,19,219585,2,0,0,2328687,0,0,1,0,1
202,70,19,938534,6,1,1,812166,0,1,0,0,1
980,23,6,6015,3,0,1,187984,1,0,0,1,0
794,49,0,483597,4,1,0,2062877,0,0,1,1,0
892,26,11,111513,2,1,1,1186747,0,0,1,1,0
496,24,20,130502,5,1,1,1500149,0,0,1,0,1
785,52,13,259311,2,1,0,1807911,0,0,1,0,1
611,42,7,323516,6,0,1,1894507,1,0,0,0,1
517,86,5,941517,4,1,1,1495940,1,0,0,0,1
568,53,7,238875,1,0,0,2591434,1,0,0,0,1
576,48,10,701458,3,0,0,1992833,1,0,0,0,1
813,55,13,261022,6,0,1,1118165,0,0,1,1,0
749,85,0,683206,4,1,0,1250520,0,1,0,1,0
789,81,14,988739,1,1,1,1101987,0,0,1,1,0
687,69,9,169628,4,0,0,2709225,1,0,0,1,0
343,40,19,262526,1,0,1,7051,0,0,1,1,0
514,61,5,518803,2,1,0,2644028,0,0,1,0,1
406,33,3,967023,3,1,1,2952227,0,1,0,1,0
584,18,13,42730,4,1,0,594040,0,0,1,1,0
740,40,11,106016,1,0,0,1810959,0,1,0,0,1
436,38,7,253466,4,0,0,1192070,0,0,1,1,0
629,31,9,845977,5,1,0,896283,0,0,1,1,0
249,59,9,696039,5,1,1,2991566,1,0,0,1,0
905,88,14,415041,2,1,0,257251,0,0,1,0,1
545,57,0,108116,4,1,0,1331401,0,1,0,1,0
742,50,0,664997,1,1,1,2399497,0,1,0,0,1
978,69,15,842965,2,1,1,1225574,1,0,0,0,1
707,68,3,882824,1,0,0,725608,1,0,0,1,0
958,97,2,781244,3,0,0,394592,0,1,0,1,0
819,98,18,290601,2,0,1,98421,1,0,0,0,1
845,85,4,184663,1,1,0,2879918,0,1,0,0,1
464,82,16,628390,2,1,1,468318,0,0,1,1,0
539,88,9,485127,5,1,0,505651,0,0,1,1,0
268,48,10,255361,3,1,1,1377711,1,0,0,0,1
853,19,7,197584,6,0,0,896522,1,0,0,0,1
771,98,1,254231,2,1,0,843911,0,1,0,1,0
851,47,16,869090,3,0,0,162317,1,0,0,1,0
510,89,7,197616,4,1,1,1233274,0,1,0,0,1
896,56,6,199050,2,1,0,2815794,1,0,0,0,1
510,35,19,144649,6,0,1,1351904,0,1,0,1,0
619,64,4,59659,3,1,1,117756,1,0,0,0,1
355,80,11,598359,5,0,0,1114430,0,0,1,1,0
473,21,8,462873,3,1,1,1976423,1,0,0,0,1
581,80,7,947439,5,0,0,572695,1,0,0,0,1
708,84,12,186011,6,0,0,460773,0,0,1,1,0
272,75,7,655960,2,0,0,275596,1,0,0,1,0
249,32,15,682885,3,1,0,2726237,0,0,1,1,0
574,22,6,913900,2,0,1,634354,0,0,1,1,0
742,23,18,545636,2,1,0,2101949,1,0,0,1,0
871,77,10,40991,6,1,1,951426,0,1,0,0,1
875,75,12,291149,1,0,1,333404,1,0,0,1,0
730,96,14,251533,5,1,1,2371566,0,1,0,1,0
656,85,18,905141,4,0,0,1917534,1,0,0,1,0
546,23,5,134625,2,1,1,177569,0,0,1,0,1
590,68,3,610588,5,0,0,31609,0,0,1,1,0
919,43,14,59539,5,0,0,2356875,0,0,1,1,0
645,80,2,580123,1,0,0,1176938,1,0,0,0,1
311,70,14,679194,6,0,1,1107108,1,0,0,1,0
839,24,9,831045,3,0,0,2563190,0,0,1,1,0
935,28,15,23483,4,1,1,600208,0,1,0,1,0
336,58,18,523738,5,0,0,1366235,1,0,0,1,0
757,84,16,690777,2,0,1,457900,1,0,0,1,0
847,25,5,998194,6,0,1,1457881,0,0,1,0,1
991,79,17,291660,2,1,1,1839568,0,0,1,1,0
303,65,0,489733,3,1,1,1186295,1,0,0,1,0
495,72,6,631842,6,0,1,95501,0,1,0,0,1
791,38,12,359788,5,0,1,1750363,0,0,1,1,0
734,75,3,94876,6,1,0,1960526,0,1,0,0,1
700,91,17,594191,6,1,0,2274886,0,1,0,1,0
714,21,3,349682,2,1,0,477919,1,0,0,1,0
243,89,7,95066,1,0,0,2720167,0,0,1,1,0
811,40,5,820097,4,0,1,2024679,0,0,1,0,1
709,30,15,90809,6,1,0,1605542,1,0,0,1,0
610,88,20,84642,2,0,1,1861877,0,0,1,1,0
592,20,14,790910,6,0,1,1044953,0,0,1,0,1
827,94,13,197389,4,1,1,869319,0,1,0,0,1
827,69,17,364094,2,0,1,953251,1,0,0,0,1
729,82,18,824111,6,1,1,768901,1,0,0,1,0
892,99,1,803002,5,1,1,2405685,0,1,0,0,1
519,22,2,314220,4,0,0,1543941,1,0,0,0,1
314,66,13,54092,2,0,1,2539912,1,0,0,1,0
734,18,3,359714,4,1,0,2990542,0,0,1,0,1
507,46,13,899547,6,1,1,53370,0,0,1,0,1
888,83,5,903331,6,0,1,2623180,1,0,0,0,1
366,23,17,499789,1,1,1,1617964,1,0,0,1,0
487,93,3,645677,2,1,0,2652595,1,0,0,0,1
994,36,16,82172,3,0,0,2746269,0,1,0,0,1
201,72,4,927276,1,0,0,428754,1,0,0,0,1
809,77,18,890971,5,1,0,1850594,0,0,1,1,0
861,55,6,310341,1,0,1,874606,0,0,1,1,0
269,54,7,315450,3,0,1,2777776,0,1,0,0,1
271,97,17,552945,6,0,0,2851551,0,1,0,0,1
890,59,7,973672,2,0,1,2658913,0,1,0,1,0
490,60,17,819396,2,0,0,1426965,1,0,0,0,1
602,65,16,761233,1,0,1,110162,1,0,0,0,1
545,66,10,54840,4,1,1,2752272,0,0,1,0,1
322,63,0,127213,6,1,1,959022,0,0,1,0,1
489,77,10,790971,3,0,0,2935020,0,0,1,0,1
470,64,0,198552,3,0,0,973259,0,0,1,1,0
550,55,11,297315,2,0,0,852368,0,0,1,1,0
742,45,10,320773,4,0,0,388917,0,1,0,1,0
484,41,8,662686,6,0,0,1944264,1,0,0,1,0
866,23,5,383208,4,0,0,1354211,1,0,0,1,0
696,35,10,755156,1,0,1,1774284,1,0,0,1,0
278,78,16,385972,3,1,1,1003797,0,1,0,0,1
372,47,20,802080,5,0,1,535657,1,0,0,0,1
621,85,13,392810,3,1,0,1194373,1,0,0,0,1
744,95,2,359235,5,0,0,850888,0,0,1,1,0
633,99,18,548951,6,1,0,954183,0,0,1,0,1
750,39,11,721909,6,0,1,2173751,1,0,0,0,1
682,27,10,250336,1,0,1,1316945,0,1,0,1,0
263,76,14,87775,1,0,1,385156,0,0,1,1,0
518,54,7,895598,5,1,0,573426,0,0,1,0,1
418,74,2,931138,4,1,0,2103283,0,1,0,1,0
319,92,19,350022,1,0,1,2022331,0,0,1,0,1
925,19,19,915490,1,1,0,2297225,1,0,0,1,0
411,49,13,103786,1,1,1,1553560,0,0,1,0,1
361,79,7,266317,4,1,0,917063,0,0,1,1,0
900,35,19,973427,3,0,1,1408909,0,0,1,0,1
356,93,10,552016,3,0,0,1359178,0,1,0,0,1
908,68,6,679001,1,1,1,2617706,1,0,0,0,1
590,55,1,572651,4,1,0,2917187,0,0,1,0,1
820,66,5,162736,5,1,1,180759,0,0,1,0,1
463,47,17,78041,4,0,1,2534569,0,0,1,1,0
265,78,10,59183,5,0,0,2392883,0,0,1,0,1
260,56,4,509719,6,1,0,2236324,1,0,0,1,0
912,98,15,128527,4,1,1,1410122,1,0,0,0,1
876,91,13,659905,3,1,0,1745394,0,0,1,1,0
943,87,20,780842,2,0,0,1639145,1,0,0,0,1
350,50,1,649086,4,0,0,2882869,0,0,1,1,0
948,54,12,314974,1,1,0,2605730,0,0,1,1,0
569,51,19,133625,3,1,1,1341670,1,0,0,0,1
434,25,16,243380,1,0,1,2547872,1,0,0,1,0
722,69,11,876486,1,0,0,2351208,0,0,1,1,0
457,38,18,792695,2,1,0,2219696,1,0,0,1,0
612,38,8,894148,1,1,0,1331486,0,0,1,0,1
935,52,0,697227,3,1,0,454488,0,0,1,1,0
349,97,1,830304,2,1,1,1967357,1,0,0,1,0
864,94,15,424772,6,0,0,1179591,1,0,0,1,0
395,59,2,127810,2,0,0,1718819,0,0,1,1,0
746,20,15,844392,6,1,0,561598,1,0,0,0,1
551,77,3,73691,3,1,0,2912841,0,1,0,1,0
318,68,7,880504,1,1,1,1973808,0,0,1,1,0
262,81,8,24415,5,0,1,10554,1,0,0,1,0
980,88,3,586994,2,0,0,2805736,0,0,1,0,1
718,78,6,921045,2,0,1,755734,0,0,1,0,1
848,66,10,229873,2,1,1,2598342,1,0,0,0,1
527,56,11,381218,6,1,0,1155398,0,1,0,0,1
568,88,3,654972,4,0,1,1666181,0,0,1,1,0
758,28,12,594941,3,1,0,112674,1,0,0,0,1
459,59,13,938107,2,1,0,1953936,0,1,0,1,0
870,88,7,988594,2,0,1,2124054,1,0,0,1,0
690,91,10,209620,4,0,0,1153258,0,0,1,0,1
323,51,0,908995,3,0,0,420050,1,0,0,1,0
735,83,15,42469,4,1,1,1385868,1,0,0,0,1
462,25,4,489810,5,0,0,2627351,0,0,1,1,0
325,40,4,484369,1,0,0,879268,1,0,0,1,0
550,45,8,956293,2,1,0,2170587,0,0,1,0,1
548,27,10,30927,4,0,0,362885,1,0,0,1,0
313,79,15,611761,5,0,1,985639,1,0,0,0,1
226,91,4,596053,1,0,0,26253,0,0,1,1,0
959,33,19,901183,2,0,1,586027,0,1,0,1,0
948,86,19,826740,6,0,1,1394359,0,0,1,0,1
422,86,16,472503,4,0,1,2796494,1,0,0,0,1
439,25,9,229983,5,1,1,481204,0,1,0,0,1
218,76,8,150006,3,0,0,1977381,1,0,0,1,0
608,30,7,535003,5,0,0,772973,0,1,0,1,0
487,20,15,639982,2,0,0,1779416,1,0,0,0,1
487,34,4,262409,5,1,1,1462355,0,0,1,1,0
962,71,18,440661,4,1,1,1609356,0,0,1,0,1
499,33,9,966390,4,0,1,307173,0,1,0,1,0
992,98,8,638518,3,1,0,237271,1,0,0,1,0
305,26,11,545372,4,1,1,1045854,0,0,1,1,0
988,85,18,119456,2,0,0,467638,0,0,1,0,1
775,22,6,304303,3,1,1,1117632,0,0,1,1,0
666,22,1,410069,4,1,1,955346,1,0,0,1,0
575,56,11,278772,1,0,0,459102,0,0,1,1,0
400,55,12,913843,1,1,1,851680,1,0,0,0,1
505,26,20,542898,5,1,0,945321,1,0,0,1,0
386,78,18,614691,1,1,0,1779010,0,1,0,1,0
793,82,2,508711,4,0,1,1267658,1,0,0,1,0
586,66,19,725807,5,0,0,512112,0,0,1,1,0
407,51,12,867632,6,1,1,480495,0,0,1,1,0
645,54,14,101699,4,0,1,191443,0,1,0,0,1
213,89,17,813152,2,1,1,1824539,1,0,0,0,1
628,96,0,528010,2,0,1,2074949,0,1,0,0,1
304,56,2,22941,1,1,0,162999,1,0,0,0,1
335,19,15,539051,5,1,0,2693350,1,0,0,0,1
739,69,15,3944,4,1,1,2877527,0,1,0,0,1
708,35,9,265666,4,0,0,2657499,0,0,1,1,0
420,57,1,487516,2,1,0,2553892,0,1,0,1,0
646,84,16,280161,6,1,1,2268952,0,0,1,1,0
485,63,2,704926,1,0,0,2127498,0,0,1,1,0
847,67,13,226902,3,0,1,2264075,1,0,0,0,1
665,62,16,714439,3,0,1,804172,0,1,0,1,0
755,81,14,938719,4,1,1,582620,1,0,0,1,0
336,41,19,531016,5,0,1,575069,0,1,0,0,1
602,60,10,618616,2,1,1,2305735,0,0,1,1,0
545,79,16,286227,5,1,0,2051890,0,1,0,1,0
339,91,12,624751,4,1,0,476373,0,0,1,0,1
960,50,20,908383,5,1,0,2951739,1,0,0,0,1
815,36,2,871854,3,0,0,906827,1,0,0,0,1
761,72,20,801455,1,0,0,12727,0,1,0,0,1
411,30,12,478511,6,1,1,1122347,0,0,1,1,0
535,58,17,412208,6,1,0,2971738,1,0,0,0,1
226,74,16,319338,4,1,0,1673742,0,1,0,0,1
800,37,19,659363,5,1,1,1327739,1,0,0,0,1
930,49,11,362360,3,1,1,329482,0,1,0,0,1
481,40,18,271672,2,0,0,2353676,1,0,0,1,0
760,78,19,606938,2,1,1,2564491,0,1,0,1,0
487,66,13,52836,3,1,1,2210150,1,0,0,1,0
575,98,4,774562,4,1,1,211238,0,0,1,1,0
431,25,4,824488,2,0,1,1340062,1,0,0,1,0
300,69,15,62481,6,0,0,1284662,1,0,0,1,0
